,season,week,tm_alias,opp_alias,tm_score,opp_score
0,2000,1,MIN,CHI,30,27
1,2000,1,IND,KC,27,14
2,2000,1,WAS,CAR,20,17
3,2000,1,ATL,SF,36,28
4,2000,1,JAC,CLE,27,7
5,2000,1,TB,NE,21,16
6,2000,1,BAL,PIT,16,0
7,2000,1,DET,NO,14,10
8,2000,1,NYG,ARI,21,16
9,2000,1,PHI,DAL,41,14
10,2000,1,LV,LAC,9,6
11,2000,1,MIA,SEA,23,0
12,2000,1,NYJ,GB,20,16
13,2000,1,BUF,TEN,16,13
14,2000,1,LA,DEN,41,36
15,2000,2,MIN,MIA,13,7
16,2000,2,CLE,CIN,24,7
17,2000,2,LV,IND,38,31
18,2000,2,BUF,GB,27,18
19,2000,2,TB,CHI,41,0
20,2000,2,BAL,JAC,39,36
21,2000,2,NYG,PHI,33,18
22,2000,2,TEN,KC,17,14
23,2000,2,CAR,SF,38,22
24,2000,2,NO,LAC,28,27
25,2000,2,LA,SEA,37,34
26,2000,2,DEN,ATL,42,14
27,2000,2,DET,WAS,15,10
28,2000,2,ARI,DAL,32,31
29,2000,2,NYJ,NE,20,19
30,2000,3,JAC,CIN,13,0
31,2000,3,ATL,CAR,15,10
32,2000,3,CLE,PIT,23,20
33,2000,3,GB,PHI,6,3
34,2000,3,LA,SF,41,24
35,2000,3,NYJ,BUF,27,14
36,2000,3,TB,DET,31,10
37,2000,3,NYG,CHI,14,7
38,2000,3,DEN,LV,33,24
39,2000,3,KC,LAC,42,10
40,2000,3,MIN,NE,21,13
41,2000,3,SEA,NO,20,10
42,2000,3,MIA,BAL,19,6
43,2000,3,DAL,WAS,27,21
44,2000,4,TEN,PIT,23,20
45,2000,4,BAL,CIN,37,0
46,2000,4,LA,ATL,41,20
47,2000,4,DET,CHI,21,14
48,2000,4,PHI,NO,21,7
49,2000,4,MIA,NE,10,3
50,2000,4,SF,DAL,41,24
51,2000,4,GB,ARI,29,3
52,2000,4,NYJ,TB,21,17
53,2000,4,SEA,LAC,20,12
54,2000,4,KC,DEN,23,22
55,2000,4,LV,CLE,36,10
56,2000,4,WAS,NYG,16,6
57,2000,4,IND,JAC,43,14
58,2000,5,IND,BUF,18,16
59,2000,5,MIN,DET,31,24
60,2000,5,DAL,CAR,16,13
61,2000,5,LA,LAC,57,31
62,2000,5,BAL,CLE,12,0
63,2000,5,PIT,JAC,24,13
64,2000,5,TEN,NYG,28,14
65,2000,5,MIA,CIN,31,16
66,2000,5,NE,DEN,28,19
67,2000,5,SF,ARI,27,20
68,2000,5,CHI,GB,27,24
69,2000,5,WAS,TB,20,17
70,2000,5,PHI,ATL,38,10
71,2000,5,KC,SEA,24,17
72,2000,6,TEN,CIN,23,14
73,2000,6,PIT,NYJ,20,3
74,2000,6,DET,GB,31,24
75,2000,6,MIA,BUF,22,13
76,2000,6,NE,IND,24,16
77,2000,6,WAS,PHI,17,14
78,2000,6,NO,CHI,31,10
79,2000,6,LV,SF,34,28
80,2000,6,NYG,ATL,13,6
81,2000,6,CAR,SEA,26,3
82,2000,6,ARI,CLE,29,21
83,2000,6,DEN,LAC,21,7
84,2000,6,BAL,JAC,15,10
85,2000,6,MIN,TB,30,23
86,2000,7,LV,KC,20,17
87,2000,7,BUF,LAC,27,24
88,2000,7,PIT,CIN,15,0
89,2000,7,WAS,BAL,10,3
90,2000,7,LA,ATL,45,29
91,2000,7,NYG,DAL,19,14
92,2000,7,NO,CAR,24,6
93,2000,7,IND,SEA,37,24
94,2000,7,NYJ,NE,34,17
95,2000,7,DEN,CLE,44,10
96,2000,7,PHI,ARI,33,14
97,2000,7,GB,SF,31,28
98,2000,7,MIN,CHI,28,16
99,2000,7,TEN,JAC,27,13
100,2000,8,DET,TB,28,14
101,2000,8,CIN,DEN,31,21
102,2000,8,IND,NE,30,23
103,2000,8,DAL,ARI,48,7
104,2000,8,KC,LA,54,34
105,2000,8,MIN,BUF,31,27
106,2000,8,CAR,SF,34,16
107,2000,8,TEN,BAL,14,6
108,2000,8,PHI,CHI,13,9
109,2000,8,NO,ATL,21,19
110,2000,8,LV,SEA,31,3
111,2000,8,PIT,CLE,22,0
112,2000,8,WAS,JAC,35,16
113,2000,8,NYJ,MIA,40,37
114,2000,9,BUF,NYJ,23,20
115,2000,9,TB,MIN,41,13
116,2000,9,MIA,GB,28,20
117,2000,9,PIT,BAL,9,6
118,2000,9,ATL,CAR,13,12
119,2000,9,CIN,CLE,12,3
120,2000,9,IND,DET,30,18
121,2000,9,NO,ARI,21,10
122,2000,9,LA,SF,34,24
123,2000,9,NYG,PHI,24,7
124,2000,9,JAC,DAL,23,17
125,2000,9,KC,SEA,24,19
126,2000,9,LV,LAC,15,13
127,2000,9,TEN,WAS,27,21
128,2000,10,MIA,DET,23,8
129,2000,10,BUF,NE,16,13
130,2000,10,CHI,IND,27,24
131,2000,10,NO,SF,31,15
132,2000,10,TB,ATL,27,14
133,2000,10,BAL,CIN,27,7
134,2000,10,PHI,DAL,16,13
135,2000,10,TEN,PIT,9,7
136,2000,10,NYG,CLE,24,3
137,2000,10,LV,KC,49,31
138,2000,10,ARI,WAS,16,15
139,2000,10,DEN,NYJ,30,23
140,2000,10,SEA,LAC,17,15
141,2000,10,CAR,LA,27,24
142,2000,10,GB,MIN,26,20
143,2000,11,DAL,CIN,23,6
144,2000,11,MIN,ARI,31,14
145,2000,11,DET,ATL,13,10
146,2000,11,PHI,PIT,26,23
147,2000,11,BUF,CHI,20,3
148,2000,11,NO,CAR,20,10
149,2000,11,SEA,JAC,28,21
150,2000,11,BAL,TEN,24,23
151,2000,11,CLE,NE,19,11
152,2000,11,SF,KC,21,7
153,2000,11,MIA,LAC,17,7
154,2000,11,TB,GB,20,15
155,2000,11,LA,NYG,38,24
156,2000,11,IND,NYJ,23,15
157,2000,11,DEN,LV,27,24
158,2000,12,BUF,KC,21,17
159,2000,12,MIN,CAR,31,17
160,2000,12,NE,CIN,16,13
161,2000,12,GB,IND,26,24
162,2000,12,PHI,ARI,34,9
163,2000,12,LV,NO,31,22
164,2000,12,DET,NYG,31,21
165,2000,12,TEN,CLE,24,10
166,2000,12,CHI,TB,13,10
167,2000,12,DEN,LAC,38,37
168,2000,12,NYJ,MIA,20,3
169,2000,12,BAL,DAL,27,0
170,2000,12,SF,ATL,16,6
171,2000,12,JAC,PIT,34,24
172,2000,12,WAS,LA,33,20
173,2000,13,DET,NE,34,9
174,2000,13,MIN,DAL,27,15
175,2000,13,TB,BUF,31,17
176,2000,13,BAL,CLE,44,7
177,2000,13,PHI,WAS,23,20
178,2000,13,NYJ,CHI,17,10
179,2000,13,PIT,CIN,48,28
180,2000,13,NO,LA,31,24
181,2000,13,LV,ATL,41,14
182,2000,13,MIA,IND,17,14
183,2000,13,JAC,TEN,16,13
184,2000,13,LAC,KC,17,16
185,2000,13,DEN,SEA,38,31
186,2000,13,NYG,ARI,31,7
187,2000,13,CAR,GB,31,14
188,2000,14,MIN,DET,24,17
189,2000,14,TB,DAL,27,7
190,2000,14,NYG,WAS,9,7
191,2000,14,PIT,LV,21,20
192,2000,14,MIA,BUF,33,6
193,2000,14,CIN,ARI,24,13
194,2000,14,DEN,NO,38,23
195,2000,14,TEN,PHI,15,13
196,2000,14,CAR,LA,16,3
197,2000,14,SEA,ATL,30,10
198,2000,14,SF,LAC,45,17
199,2000,14,NYJ,IND,27,17
200,2000,14,JAC,CLE,48,0
201,2000,14,GB,CHI,28,6
202,2000,14,NE,KC,30,24
203,2000,15,KC,CAR,15,14
204,2000,15,CHI,NE,24,17
205,2000,15,JAC,ARI,44,10
206,2000,15,GB,DET,26,13
207,2000,15,TB,MIA,16,13
208,2000,15,BAL,LAC,24,3
