,season,week,team_abbr,spread,total,implied_score
0,2016,1,DEN,3.0,40.5,19.0
1,2016,1,CAR,-3.0,40.5,22.0
2,2016,1,ARI,-8.5,44.0,26.0
3,2016,1,NE,8.5,44.0,18.0
4,2016,1,ATL,-2.5,47.0,25.0
5,2016,1,TB,2.5,47.0,22.0
6,2016,1,BAL,-3.0,44.5,24.0
7,2016,1,BUF,3.0,44.5,21.0
8,2016,1,DAL,1.0,47.5,23.0
9,2016,1,NYG,-1.0,47.5,24.0
10,2016,1,HOU,-5.5,42.5,24.0
11,2016,1,CHI,5.5,42.5,18.0
12,2016,1,IND,-2.5,51.5,27.0
13,2016,1,DET,2.5,51.5,24.0
14,2016,1,JAX,3.5,47.5,22.0
15,2016,1,GB,-3.5,47.5,26.0
16,2016,1,KC,-6.5,46.0,26.0
17,2016,1,LAC,6.5,46.0,20.0
18,2016,1,NO,-3.0,50.5,27.0
19,2016,1,LV,3.0,50.5,24.0
20,2016,1,NYJ,1.0,42.0,20.0
21,2016,1,CIN,-1.0,42.0,22.0
22,2016,1,PHI,-3.5,41.0,22.0
23,2016,1,CLE,3.5,41.0,19.0
24,2016,1,SEA,-10.5,44.0,27.0
25,2016,1,MIA,10.5,44.0,17.0
26,2016,1,TEN,2.5,40.0,19.0
27,2016,1,MIN,-2.5,40.0,21.0
28,2016,1,SF,2.5,43.5,20.0
29,2016,1,LAR,-2.5,43.5,23.0
30,2016,1,WAS,2.5,49.0,23.0
31,2016,1,PIT,-2.5,49.0,26.0
32,2016,2,BUF,-0.0,40.5,20.0
33,2016,2,NYJ,-0.0,40.5,20.0
34,2016,2,ARI,-7.0,49.5,28.0
35,2016,2,TB,7.0,49.5,21.0
36,2016,2,CAR,-12.5,44.0,28.0
37,2016,2,SF,12.5,44.0,16.0
38,2016,2,CLE,4.5,42.0,19.0
39,2016,2,BAL,-4.5,42.0,23.0
40,2016,2,DEN,-6.0,47.0,26.0
41,2016,2,IND,6.0,47.0,20.0
42,2016,2,DET,-6.0,48.0,27.0
43,2016,2,TEN,6.0,48.0,21.0
44,2016,2,HOU,-1.0,42.0,22.0
45,2016,2,KC,1.0,42.0,20.0
46,2016,2,LAR,5.5,38.0,16.0
47,2016,2,SEA,-5.5,38.0,22.0
48,2016,2,MIN,2.0,43.0,20.0
49,2016,2,GB,-2.0,43.0,22.0
50,2016,2,NE,-5.5,42.0,24.0
51,2016,2,MIA,5.5,42.0,18.0
52,2016,2,NYG,-4.0,54.5,29.0
53,2016,2,NO,4.0,54.5,25.0
54,2016,2,LV,4.0,48.0,22.0
55,2016,2,ATL,4.0,48.0,22.0
56,2016,2,PIT,-3.0,48.0,26.0
57,2016,2,CIN,3.0,48.0,22.0
58,2016,2,LAC,-3.0,47.5,25.0
59,2016,2,JAX,3.0,47.5,22.0
60,2016,2,WAS,-3.0,47.0,25.0
61,2016,2,DAL,3.0,47.0,22.0
62,2016,2,CHI,-3.0,43.0,23.0
63,2016,2,PHI,3.0,43.0,20.0
64,2016,3,NE,-1.0,38.5,20.0
65,2016,3,HOU,1.0,38.5,19.0
66,2016,3,BUF,5.0,48.0,22.0
67,2016,3,ARI,-5.0,48.0,26.0
68,2016,3,CAR,-6.5,42.5,24.0
69,2016,3,MIN,6.5,42.5,18.0
70,2016,3,CIN,-3.5,41.5,22.0
71,2016,3,DEN,3.5,41.5,19.0
72,2016,3,DAL,-6.5,45.0,26.0
73,2016,3,CHI,6.5,45.0,19.0
74,2016,3,GB,-6.5,47.5,27.0
75,2016,3,DET,6.5,47.5,20.0
76,2016,3,IND,-1.5,51.5,26.0
77,2016,3,LAC,1.5,51.5,25.0
78,2016,3,JAX,2.0,45.0,22.0
79,2016,3,BAL,-2.0,45.0,24.0
80,2016,3,KC,-3.0,44.5,24.0
81,2016,3,NYJ,3.0,44.5,21.0
82,2016,3,MIA,-10.0,42.5,26.0
83,2016,3,CLE,10.0,42.5,16.0
84,2016,3,NYG,-3.5,47.0,25.0
85,2016,3,WAS,3.5,47.0,22.0
86,2016,3,PHI,4.0,46.5,21.0
87,2016,3,PIT,-4.0,46.5,25.0
88,2016,3,SEA,-10.5,41.5,26.0
89,2016,3,SF,10.5,41.5,16.0
90,2016,3,TB,-3.5,40.5,22.0
91,2016,3,LAR,3.5,40.5,18.0
92,2016,3,TEN,1.5,47.0,23.0
93,2016,3,LV,1.5,47.0,23.0
94,2016,3,NO,-3.0,54.5,29.0
95,2016,3,ATL,3.0,54.5,26.0
96,2016,4,CIN,-7.5,46.5,27.0
97,2016,4,MIA,7.5,46.5,20.0
98,2016,4,ARI,-10.0,43.5,27.0
99,2016,4,LAR,10.0,43.5,17.0
100,2016,4,ATL,3.0,48.5,23.0
101,2016,4,CAR,-3.0,48.5,26.0
102,2016,4,BAL,-3.5,45.0,24.0
103,2016,4,LV,3.5,45.0,21.0
104,2016,4,CHI,3.0,48.0,22.0
105,2016,4,DET,-3.0,48.0,26.0
106,2016,4,HOU,-3.5,40.0,22.0
107,2016,4,TEN,3.5,40.0,18.0
108,2016,4,JAX,1.0,48.5,24.0
109,2016,4,IND,-1.0,48.5,25.0
110,2016,4,NE,-3.5,41.0,22.0
111,2016,4,BUF,3.5,41.0,19.0
112,2016,4,NYJ,1.0,40.0,20.0
113,2016,4,SEA,-1.0,40.0,20.0
114,2016,4,PIT,-3.5,48.5,26.0
115,2016,4,KC,3.5,48.5,22.0
116,2016,4,LAC,-3.5,54.0,29.0
117,2016,4,NO,3.5,54.0,25.0
118,2016,4,SF,1.0,44.0,22.0
119,2016,4,DAL,-1.0,44.0,22.0
120,2016,4,TB,3.0,42.5,20.0
121,2016,4,DEN,-3.0,42.5,23.0
122,2016,4,WAS,-7.5,47.5,28.0
123,2016,4,CLE,7.5,47.5,20.0
124,2016,4,MIN,-3.5,42.5,23.0
125,2016,4,NYG,3.5,42.5,20.0
126,2016,5,SF,3.5,42.5,20.0
127,2016,5,ARI,-3.5,42.5,23.0
128,2016,5,BAL,-4.0,44.5,24.0
129,2016,5,WAS,4.0,44.5,20.0
