,season,week,team,players_out_total,players_questionable_total,players_doubtful_total,players_full_total,players_none_total,players_limit_total
0,2018.0,1.0,ARI,1,4,0,2,1,4
1,2018.0,1.0,ATL,3,1,0,4,2,2
2,2018.0,1.0,BAL,2,2,0,1,2,1
3,2018.0,1.0,BUF,1,1,0,0,2,1
4,2018.0,1.0,CAR,1,4,0,1,1,3
5,2018.0,1.0,CHI,1,0,1,0,2,1
6,2018.0,1.0,CIN,0,0,1,6,0,1
7,2018.0,1.0,CLE,1,0,1,7,1,1
8,2018.0,1.0,DAL,3,2,0,2,4,0
9,2018.0,1.0,DEN,0,0,0,8,0,0
10,2018.0,1.0,DET,1,0,0,1,1,0
11,2018.0,1.0,GB,1,2,1,0,1,2
12,2018.0,1.0,HOU,1,4,0,3,1,4
13,2018.0,1.0,IND,1,2,0,4,1,2
14,2018.0,1.0,JAX,0,1,0,4,0,0
15,2018.0,1.0,KC,0,0,1,4,1,0
16,2018.0,1.0,LAC,1,0,0,2,1,0
17,2018.0,1.0,LAR,0,0,1,1,1,0
18,2018.0,1.0,LV,1,1,0,2,1,3
19,2018.0,1.0,MIA,0,0,1,5,0,2
20,2018.0,1.0,MIN,3,1,1,4,1,3
21,2018.0,1.0,NE,0,4,0,3,1,2
22,2018.0,1.0,NO,0,2,0,0,1,1
23,2018.0,1.0,NYG,2,0,0,1,2,0
24,2018.0,1.0,NYJ,1,0,2,10,2,1
25,2018.0,1.0,PHI,3,0,0,2,3,1
26,2018.0,1.0,PIT,1,0,0,0,1,0
27,2018.0,1.0,SEA,2,1,0,6,3,2
28,2018.0,1.0,SF,2,0,1,2,1,2
29,2018.0,1.0,TB,1,1,2,3,4,0
30,2018.0,1.0,TEN,4,0,0,1,3,1
31,2018.0,1.0,WAS,1,0,0,2,2,2
32,2018.0,2.0,ARI,2,3,0,7,2,3
33,2018.0,2.0,ATL,3,1,0,7,3,1
34,2018.0,2.0,BAL,4,1,0,0,4,1
35,2018.0,2.0,BUF,2,1,0,1,5,1
36,2018.0,2.0,CAR,4,0,0,5,4,0
37,2018.0,2.0,CHI,1,0,0,3,1,0
38,2018.0,2.0,CIN,0,1,1,7,0,2
39,2018.0,2.0,CLE,3,1,0,5,1,1
40,2018.0,2.0,DAL,3,0,1,3,2,2
41,2018.0,2.0,DEN,0,0,0,10,0,0
42,2018.0,2.0,DET,2,2,0,1,2,2
43,2018.0,2.0,GB,1,3,0,0,2,2
44,2018.0,2.0,HOU,1,8,0,0,1,8
45,2018.0,2.0,IND,4,3,0,3,5,0
46,2018.0,2.0,JAX,0,2,0,6,1,1
47,2018.0,2.0,KC,1,0,1,5,2,0
48,2018.0,2.0,LAC,3,1,0,1,3,1
49,2018.0,2.0,LAR,1,0,1,1,2,0
50,2018.0,2.0,LV,1,3,0,5,3,3
51,2018.0,2.0,MIA,0,3,0,6,2,0
52,2018.0,2.0,MIN,1,0,0,4,0,1
53,2018.0,2.0,NE,0,4,0,2,0,4
54,2018.0,2.0,NO,1,0,0,4,1,0
55,2018.0,2.0,NYG,1,1,0,3,1,1
56,2018.0,2.0,NYJ,1,1,1,11,2,0
57,2018.0,2.0,PHI,3,1,0,1,1,2
58,2018.0,2.0,PIT,0,4,3,3,2,2
59,2018.0,2.0,SEA,3,1,3,3,7,1
60,2018.0,2.0,SF,3,3,0,2,2,6
61,2018.0,2.0,TB,2,2,0,3,2,1
62,2018.0,2.0,TEN,3,5,0,5,3,4
63,2018.0,2.0,WAS,1,3,0,3,2,2
64,2018.0,3.0,ARI,2,5,0,7,4,2
65,2018.0,3.0,ATL,4,0,0,3,3,3
66,2018.0,3.0,BAL,3,4,0,3,6,0
67,2018.0,3.0,BUF,1,5,0,3,3,3
68,2018.0,3.0,CAR,4,2,0,0,4,2
69,2018.0,3.0,CHI,2,0,0,0,2,1
70,2018.0,3.0,CIN,2,2,0,6,2,2
71,2018.0,3.0,CLE,2,2,1,4,4,1
72,2018.0,3.0,DAL,2,3,0,4,2,3
73,2018.0,3.0,DEN,0,4,0,4,2,2
74,2018.0,3.0,DET,1,6,0,1,2,6
75,2018.0,3.0,GB,1,4,0,1,2,2
76,2018.0,3.0,HOU,1,3,0,9,0,6
77,2018.0,3.0,IND,6,2,0,4,7,0
78,2018.0,3.0,JAX,0,5,0,5,0,5
79,2018.0,3.0,KC,0,1,2,6,1,2
80,2018.0,3.0,LAC,2,3,0,1,2,3
81,2018.0,3.0,LAR,1,0,1,3,2,0
82,2018.0,3.0,LV,1,1,0,3,1,4
83,2018.0,3.0,MIA,0,1,0,8,0,2
84,2018.0,3.0,MIN,4,1,0,6,4,0
85,2018.0,3.0,NE,1,5,2,3,3,5
86,2018.0,3.0,NO,2,1,0,0,3,3
87,2018.0,3.0,NYG,2,0,0,3,2,0
88,2018.0,3.0,NYJ,2,0,1,9,3,0
89,2018.0,3.0,PHI,2,4,0,4,2,3
90,2018.0,3.0,PIT,0,0,3,5,2,1
91,2018.0,3.0,SEA,3,2,0,7,5,2
92,2018.0,3.0,SF,1,2,0,3,1,4
93,2018.0,3.0,TB,3,3,0,7,2,1
94,2018.0,3.0,TEN,2,4,0,4,3,2
95,2018.0,3.0,WAS,2,3,0,7,2,2
96,2018.0,4.0,ARI,0,5,0,8,1,5
97,2018.0,4.0,ATL,3,0,0,4,2,3
98,2018.0,4.0,BAL,2,7,0,8,2,2
99,2018.0,4.0,BUF,0,4,0,4,2,4
100,2018.0,4.0,CHI,3,0,0,1,3,0
101,2018.0,4.0,CIN,2,0,0,9,2,0
102,2018.0,4.0,CLE,1,3,0,5,1,3
103,2018.0,4.0,DAL,3,2,0,3,4,2
104,2018.0,4.0,DEN,1,3,1,4,1,4
105,2018.0,4.0,DET,2,2,0,3,2,2
106,2018.0,4.0,GB,1,5,1,0,3,6
107,2018.0,4.0,HOU,0,3,0,2,0,7
108,2018.0,4.0,IND,5,3,0,6,5,3
109,2018.0,4.0,JAX,1,2,0,7,1,1
110,2018.0,4.0,KC,0,0,1,9,1,0
111,2018.0,4.0,LAC,3,2,0,2,3,2
112,2018.0,4.0,LAR,2,2,1,0,3,3
113,2018.0,4.0,LV,1,2,0,5,1,5
114,2018.0,4.0,MIA,3,5,0,9,3,1
115,2018.0,4.0,MIN,2,4,0,6,2,3
116,2018.0,4.0,NE,0,11,0,0,0,12
117,2018.0,4.0,NO,1,1,0,6,2,2
118,2018.0,4.0,NYG,5,2,0,1,4,4
119,2018.0,4.0,NYJ,2,3,0,9,2,3
120,2018.0,4.0,PHI,2,3,0,2,4,2
121,2018.0,4.0,PIT,0,0,2,6,2,0
122,2018.0,4.0,SEA,2,4,2,8,3,4
123,2018.0,4.0,SF,2,4,1,4,3,3
124,2018.0,4.0,TB,1,4,0,5,1,2
125,2018.0,4.0,TEN,2,1,0,6,5,0
126,2018.0,5.0,ARI,0,7,0,4,2,5
127,2018.0,5.0,ATL,3,0,0,4,2,3
128,2018.0,5.0,BAL,2,7,0,7,4,5
129,2018.0,5.0,BUF,0,3,0,3,4,0
130,2018.0,5.0,CAR,1,1,0,4,0,3
131,2018.0,5.0,CIN,4,0,0,5,4,0
132,2018.0,5.0,CLE,1,2,0,5,2,1
133,2018.0,5.0,DAL,3,3,0,5,4,3
134,2018.0,5.0,DEN,1,2,1,6,2,2
135,2018.0,5.0,DET,3,7,0,3,3,5
136,2018.0,5.0,GB,1,8,0,4,3,6
137,2018.0,5.0,HOU,2,3,0,9,2,6
138,2018.0,5.0,IND,7,6,0,3,6,7
139,2018.0,5.0,JAX,2,1,0,7,2,1
140,2018.0,5.0,KC,0,3,1,4,1,2
141,2018.0,5.0,LAC,3,1,1,0,3,2
142,2018.0,5.0,LAR,1,2,0,6,1,2
143,2018.0,5.0,LV,1,1,0,0,2,7
144,2018.0,5.0,MIA,3,7,1,9,4,2
145,2018.0,5.0,MIN,4,1,0,7,3,2
146,2018.0,5.0,NE,0,8,0,0,3,7
147,2018.0,5.0,NO,1,3,0,2,2,4
148,2018.0,5.0,NYG,2,0,0,6,2,0
149,2018.0,5.0,NYJ,3,1,0,10,3,2
150,2018.0,5.0,PHI,2,2,0,3,3,1
151,2018.0,5.0,PIT,0,0,3,7,3,0
152,2018.0,5.0,SEA,2,2,0,8,4,0
153,2018.0,5.0,SF,1,7,0,9,2,3
154,2018.0,5.0,TEN,2,1,0,5,2,0
155,2018.0,5.0,WAS,2,2,0,9,3,0
156,2018.0,6.0,ARI,0,6,0,8,0,6
157,2018.0,6.0,ATL,3,0,0,1,2,2
158,2018.0,6.0,BAL,2,5,0,5,2,3
159,2018.0,6.0,BUF,0,0,0,4,3,0
160,2018.0,6.0,CAR,4,1,0,5,3,1
161,2018.0,6.0,CHI,1,0,0,3,1,0
162,2018.0,6.0,CIN,3,3,0,4,3,3
163,2018.0,6.0,CLE,3,1,0,4,2,2
164,2018.0,6.0,DAL,2,6,0,8,2,6
165,2018.0,6.0,DEN,0,2,0,9,3,0
166,2018.0,6.0,GB,0,8,0,5,1,7
167,2018.0,6.0,HOU,2,1,0,6,2,6
168,2018.0,6.0,IND,6,6,0,12,5,3
169,2018.0,6.0,JAX,5,1,0,6,5,1
170,2018.0,6.0,KC,2,1,2,4,4,1
171,2018.0,6.0,LAC,3,3,1,3,4,3
172,2018.0,6.0,LAR,1,0,0,8,0,2
173,2018.0,6.0,LV,0,2,2,0,0,9
174,2018.0,6.0,MIA,0,10,1,13,1,3
175,2018.0,6.0,MIN,4,1,0,6,4,1
176,2018.0,6.0,NE,0,9,0,0,0,9
177,2018.0,6.0,NYG,2,1,0,3,2,3
178,2018.0,6.0,NYJ,2,3,2,8,4,3
179,2018.0,6.0,PHI,5,1,0,6,5,0
180,2018.0,6.0,PIT,2,0,1,6,3,0
181,2018.0,6.0,SEA,2,2,0,4,4,0
182,2018.0,6.0,SF,1,7,1,8,3,6
183,2018.0,6.0,TB,1,4,0,4,1,1
184,2018.0,6.0,TEN,2,4,0,4,3,1
185,2018.0,6.0,WAS,1,6,1,8,3,4
186,2018.0,7.0,ARI,3,2,0,9,3,2
187,2018.0,7.0,ATL,1,0,0,2,1,4
188,2018.0,7.0,BAL,1,4,0,3,2,2
189,2018.0,7.0,BUF,3,0,0,2,4,0
190,2018.0,7.0,CAR,1,0,0,6,1,1
191,2018.0,7.0,CHI,0,3,1,2,2,3
192,2018.0,7.0,CIN,5,1,0,11,5,0
193,2018.0,7.0,CLE,3,1,0,2,3,1
194,2018.0,7.0,DAL,2,1,0,9,2,1
195,2018.0,7.0,DEN,5,0,0,6,5,0
196,2018.0,7.0,DET,1,3,0,6,1,1
197,2018.0,7.0,HOU,4,1,0,6,5,3
198,2018.0,7.0,IND,5,3,0,5,5,3
199,2018.0,7.0,JAX,3,3,0,4,4,2
200,2018.0,7.0,KC,1,2,2,5,3,1
201,2018.0,7.0,LAC,2,4,0,7,2,2
202,2018.0,7.0,LAR,1,0,0,7,1,0
203,2018.0,7.0,MIA,3,5,0,10,2,2
204,2018.0,7.0,MIN,4,1,0,4,4,2
205,2018.0,7.0,NE,1,10,0,0,1,10
206,2018.0,7.0,NO,2,2,0,3,4,1
207,2018.0,7.0,NYG,1,2,0,4,2,1
208,2018.0,7.0,NYJ,3,1,3,11,6,1
209,2018.0,7.0,PHI,5,1,0,3,5,4
210,2018.0,7.0,SF,1,5,1,9,3,4
211,2018.0,7.0,TB,2,2,0,4,2,0
212,2018.0,7.0,TEN,2,2,0,2,2,2
213,2018.0,7.0,WAS,1,5,2,6,2,6
214,2018.0,8.0,ARI,2,5,0,5,3,4
215,2018.0,8.0,BAL,2,4,1,7,3,1
216,2018.0,8.0,BUF,3,1,0,3,5,2
217,2018.0,8.0,CAR,2,0,1,3,3,2
218,2018.0,8.0,CHI,1,2,0,5,1,2
219,2018.0,8.0,CIN,6,0,1,5,6,1
220,2018.0,8.0,CLE,3,3,0,8,3,3
221,2018.0,8.0,DEN,4,3,1,4,4,4
222,2018.0,8.0,DET,1,2,0,3,1,2
223,2018.0,8.0,GB,0,3,0,6,0,4
224,2018.0,8.0,HOU,7,0,0,7,7,1
225,2018.0,8.0,IND,5,5,0,7,7,1
226,2018.0,8.0,JAX,4,0,1,7,6,1
227,2018.0,8.0,KC,1,0,2,4,3,0
228,2018.0,8.0,LAR,0,0,2,3,3,0
229,2018.0,8.0,LV,0,2,0,5,0,8
230,2018.0,8.0,MIA,3,2,0,14,3,2
231,2018.0,8.0,MIN,4,2,1,4,6,1
232,2018.0,8.0,NE,3,8,1,0,2,10
233,2018.0,8.0,NO,1,0,0,8,2,0
234,2018.0,8.0,NYG,2,0,0,2,2,0
235,2018.0,8.0,NYJ,1,5,2,6,4,4
236,2018.0,8.0,PHI,4,1,0,5,5,2
237,2018.0,8.0,PIT,1,0,0,6,1,0
238,2018.0,8.0,SEA,0,1,2,6,2,2
239,2018.0,8.0,SF,0,3,1,8,2,2
